Ministère porteur,Ministère nom complet,Nom du projet,Projet interministériel,Description et objectifs du projet,En savoir plus sur le projet,Début,Durée prévisionnelle en année,Phase du projet en cours,Coût estimé,Coût estimé par tranche,Zone fonctionnelle,Financement [programme(s)],Lien vers les Projets Annuels de Performances,Date de publication
MEF,Ministères de l'Économie et des Finances,Paysage : Modernisation iso fonctionnelle de PAY,Oui,Réécriture iso-fonctionnelle de l’application PAY afin de pallier l’obsolescence technologique actuelle,,2014-10-01,6.3,Conception / Réalisation,41.7,entre 20 et 100 M€,Ressources Humaines,Gestion fiscale et financière de l'État et du secteur public local (P156),https://www.performance-publique.budget.gouv.fr/sites/performance_publique/files/farandole/ressources/2017/pap/pdf/DBGPGMPGM156.pdf#page=34,2017-06-01
MEF,Ministères de l'Économie et des Finances,RenoiRH,Oui,"Le projet  RenoiRH (Offre SIRH) a pour objectif d’offrir une solution SIRH commune et répondant aux spécificités de la fonction publique d'Etat pour les ministères qui le souhaitent.
Les ministères déjà en production sont :  le ministère en charge de la culture (dont le musée du quai Branly), les ministères sociaux et les services du Premier ministre, soit un total d’environ 60.000 agents.
Le ministère en projet est : le ministère en charge de l'écologie soit environ 70.000 agents.",http://www.economie.gouv.fr/cisirh/renoirh,2011-01-01,8.0,Déploiement,43.5,entre 20 et 100 M€,Ressources Humaines,Conduite et pilotage des politiques économiques et financières (P218),http://www.performance-publique.budget.gouv.fr/sites/performance_publique/files/farandole/ressources/2017/pap/pdf/DBGPGMPGM218.pdf#page=24,2017-06-01
MEF,Ministères de l'Économie et des Finances,SIRANO,Non,"Le projet SIRANO concerne la refonte du système d’information de TRACFIN, la cellule de lutte contre le blanchiment de capitaux et le financement du terrorisme. L’objectif est d'exploiter de manière plus efficiente et juridiquement sécurisée les volumes de données en forte croissance, grâce à une technologie innovante de stockage et d'exploitation de l'information, ainsi qu'une dématérialisation totale.",,2014-09-01,3.3,Conception / Réalisation,10.1,entre 9 et 20 M€,Lutte contre la fraude,Conduite et pilotage des politiques économiques et financières (P218),http://www.performance-publique.budget.gouv.fr/sites/performance_publique/files/farandole/ressources/2017/pap/pdf/DBGPGMPGM218.pdf#page=25,2017-06-01
MEF,Ministères de l'Économie et des Finances,SIRHIUS V1,Oui,"Gestion des ressources humaines ministérielles
Système d'information des ressources humaines (SIRH) unique pour l’ensemble des directions des ministères économique et financier (DGFiP, DGDDI, SG, DGCCRF, INSEE) et le ministère des affaires étrangères et du développement international (MAEDI)",,2007-01-01,12.5,Déploiement,161.7,> 100 M€,Ressources Humaines,Gestion fiscale et financière de l'État et du secteur public local (P156) / Action de la France en Europe et dans le monde (P105),http://www.performance-publique.budget.gouv.fr/sites/performance_publique/files/farandole/ressources/2017/pap/pdf/DBGPGMPGM156.pdf#page=32,2017-06-01
MEF,Ministères de l'Économie et des Finances,GUN,Oui,Le projet GUN (Guichet Unique National du dédouanement) vise à mettre en place une plate-forme de liaison entre le système d’information douanier DELT@-G et les bases de quinze administrations partenaires qui délivrent les autorisations d’importation et d’exportation appelées Documents d’Ordre Public (DOP). L’objectif est de dématérialiser les DOP et d’automatiser leur contrôle lors du dédouanement.,,2010-04-01,9.4,Conception / Réalisation,4.2,< 5 M€,"Fiscalité indirecte, Dédouanement et gestion des imports & exports",Facilitation et sécurisation des échanges (P302),http://www.performance-publique.budget.gouv.fr/sites/performance_publique/files/farandole/ressources/2017/pap/pdf/DBGPGMPGM302.pdf#page=32,2017-06-01
MEF,Ministères de l'Économie et des Finances,Offre IGC ministérielle,Non,Le projet IGC (Infrastructure de Gestion de Clés) construit une offre de service pour délivrer des certificats électroniques qui garantissent la sécurité des données et échanges numériques. La solution  couvre l’ensemble du ministère de l’économie et des finances. Les certificats sont conformes aux normes une étoile (1*) et deux étoiles (2*) du référentiel général de sécurité (RGS).,,2014-12-01,3.0,Déploiement,4.2,< 5 M€,Gestion des Systèmes d'Information et de Communication,Conduite et pilotage des politiques économiques et financières (P218),http://www.performance-publique.budget.gouv.fr/sites/performance_publique/files/farandole/ressources/2017/pap/pdf/DBGPGMPGM218.pdf#page=26,2017-06-01
MEF,Ministères de l'Économie et des Finances,NSTI / DELT@ T,Non,"Le projet Delta T a pour objet la refonte de l’application permettant la gestion et le suivi du régime douanier du transit (NSTI). Le transit est un régime douanier permettant la circulation de marchandises en suspension de droits et taxes et de mesures commerciales / fiscales / douanières sur le territoire douanier de la communauté européenne. L’application NSTI traite plus de 5 millions de déclarations par an. La nouvelle application permettra d'assurer une meilleure traçabilité du transport de marchandises, une sécurité accrue et mettra le SI douanier en conformité avec le futur code des douanes de l'Union européenne de 2020.",,2014-09-01,4.0,Conception / Réalisation,5.6,entre 5 et 9 M€,"Fiscalité indirecte, Dédouanement et gestion des imports & exports",Facilitation et sécurisation des échanges (P302),http://www.performance-publique.budget.gouv.fr/sites/performance_publique/files/farandole/ressources/2017/pap/pdf/DBGPGMPGM302.pdf#page=32,2017-06-01
MEF,Ministères de l'Économie et des Finances,Regroupement des centres informatiques,Non,"Rénovation et regroupement des centres informatiques pour la mise à disposition de capacités d’hébergement (immobilier, électricité, climatisation)",,2015-01-01,10.0,Déploiement,11.9,entre 9 et 20 M€,Gestion des Systèmes d'Information et de Communication,Conduite et pilotage des politiques économiques et financières (P218),http://www.performance-publique.budget.gouv.fr/sites/performance_publique/files/farandole/ressources/2017/pap/pdf/DBGPGMPGM218.pdf#page=25,2017-06-01
MEF,Ministères de l'Économie et des Finances,MISTR@L,Non,Le projet vise la modernisation et la ré-ingénierie de l'activité bancaire de la DGFIP au travers notamment de la réécriture et/ou de la refonte de différentes applications composant le système d'information des DFT (dépôts de fonds au Trésor) dans le cadre d'un projet intitulé « Mistr@l » (Management Interactif de la Situation au Trésor – Application en ligne). Il concerne les missions DGFiP découlant du principe de l'obligation de dépôt des fonds au Trésor (DFT) rappelé par la LOLF  et s'imposant à 130.000 organismes publics (État et organismes locaux) assujettis à l'obligation de dépôt de leurs fonds au Trésor.,,2014-06-01,8.0,Conception / Réalisation,26.6,entre 20 et 100 M€,Gestion publique,Gestion fiscale et financière de l'État et du secteur public local (P156),http://www.performance-publique.budget.gouv.fr/sites/performance_publique/files/farandole/ressources/2017/pap/pdf/DBGPGMPGM156.pdf#page=36,2017-06-01
MEF,Ministères de l'Économie et des Finances,Elire – élaboration des listes à partir du répertoire électoral,Non,"Le projet Elire est une composante du projet interministériel de mise en place des nouvelles modalités d'inscription sur les listes électorales établies par les lois du 1er août 2016. Il a pour objet la mise en place du répertoire électoral unique (REU). Il vise à permettre à l'Insee de jouer le rôle qui lui est dévolu et à offrir aux autres acteurs du système, et en premier lieu aux communes, des modalités d'échanges simples et robustes.",,2016-03-01,3.5,Conception / Réalisation,5.0,entre 5 et 9 M€,Protection et sécurité de l'espace national européen,Conduite et pilotage des politiques économiques et financières (P218),http://www.performance-publique.budget.gouv.fr/sites/performance_publique/files/farandole/ressources/2017/pap/pdf/DBGPGMPGM218.pdf#page=25,2017-06-01
MEF,Ministères de l'Économie et des Finances,3PA-S,Oui,"Le projet « 3PA-S » consiste à mettre en œuvre et à intégrer dans le Système d’Information des Achats de l’État (SIAE) une solution standard du marché hébergée sur une plateforme du Ministère de l’économie. La solution 3PA-Sourcing doit couvrir les briques fonctionnelles principales suivantes (absentes à ce stade ou nécessitant un renforcement dans le SIAE) :
• la Programmation pluriannuelle des achats de l’Etat,
• le suivi de la Performance,
• la Planification des tâches des projets d’Achat,
• le Sourcing/SRM comprenant notamment le suivi et la gestion de la relation acheteur-fournisseur.
",,2016-01-01,En cadrage,Cadrage,En cadrage,En cadrage,Achats,Conduite et pilotage des politiques économiques et financières (P218),http://www.performance-publique.budget.gouv.fr/sites/performance_publique/files/farandole/ressources/2017/pap/pdf/DBGPGMPGM218.pdf#page=25,2017-06-01
MEF,Ministères de l'Économie et des Finances,Concentrateur DSN,Non,"Le projet consiste dans la construction de l’outil qui va permettre de centraliser les flux permettant de fabriquer la Déclaration Sociale Nominative (DSN) de la Fonction Publique de l’Etat (le contexte de la FPE se caractérise par la multiplicité des sources de données à mobiliser), d’effectuer les calculs et transformations nécessaires sur ces données, de gérer les contrôles et les rejets en amont de l’envoi au GIP MDS et en aval après contrôles du GIP MDS.",http://www.economie.gouv.fr/cisirh/,2016-11-29,En cadrage,Cadrage,En cadrage,En cadrage,Ressources Humaines,Conduite et pilotage des politiques économiques et financières (P218),http://www.performance-publique.budget.gouv.fr/sites/performance_publique/files/farandole/ressources/2017/pap/pdf/DBGPGMPGM218.pdf#page=25,2017-06-01
MEF,Ministères de l'Économie et des Finances,Guichet entreprise,Non,"Guichet entreprise est un guichet en ligne destiné à tous les citoyens de l’Union européenne. Formalités de création pour tous les types d’entreprises, de modification ou cessation d’activité pour les micro-entrepreneurs.
Le service à compétence nationale Guichet Entreprise propose aussi un autre guichet en ligne guichet-qualifications.fr qui offre sous forme dématérialisée la reconnaissance des qualifications professionnelles obtenues à l’étranger et le renouvellement des autorisations d’exercer pour les professions réglementées.",https://www.guichet-entreprises.fr/,2015-04-01,5.0,Déploiement,24.4,entre 20 et 100 M€,Echanges & Relations,Développement des entreprises et du tourisme (P134),https://www.performance-publique.budget.gouv.fr/sites/performance_publique/files/farandole/ressources/2017/pap/pdf/PAP2017_BG_Economie.pdf,2017-06-01
MEF,Ministères de l'Économie et des Finances,PAS,Non,"La reforme du prélèvement à la source (PAS) consiste en la suppression du décalage d’un an entre la perception d’un revenu et le paiement de l’impôt correspondant. Ni l'aspect législatif de cet impôt, ni les modalités de son calcul (barème, quotient familial) ne sont modifiés.
Ces nouvelles modalités de recouvrement de l’impôt sur le revenu concerneront aussi bien les revenus imposables versés par un tiers aux usagers (traitements, salaires, pensions de retraites et revenus de remplacement) que les revenus sans tiers collecteur (revenus d’activités professionnelles, revenus fonciers, pensions alimentaires...).
Le prélèvement à la source, prévu au 1er janvier 2018, comprend un important volet informatique que la DGFiP est chargée de mettre en œuvre.",http://www.economie.gouv.fr/prelevement-a-la-source,2016-01-01,3.7,Conception / Réalisation,159.7,> 100 M€,Fiscalité,Gestion fiscale et financière de l'État et du secteur public local (P156),http://www.performance-publique.budget.gouv.fr/sites/performance_publique/files/farandole/ressources/2017/pap/pdf/DBGPGMPGM156.pdf#page=36,2017-06-01
MI,Ministère de l'Intérieur,B015,Oui,Aménagement d'un datacenter sécurisé,,2015-01-01,3.7,Conception / Réalisation,33.8,entre 20 et 100 M€,Gestion des Systèmes d'Information et de Communication,Conduite et pilotage des politiques de l'intérieur (P216),http://www.performance-publique.budget.gouv.fr/sites/performance_publique/files/farandole/ressources/2016/pap/html/DBGPGMPRESSTRATPGM216.htm,2017-06-01
MI,Ministère de l'Intérieur,FRANCE VISAS,Oui,Modernisation de la gestion des demandes de visas grâce à une procédure entièrement dématérialisée permettant de faciliter les démarches des usagers et de mieux lutter contre la fraude.,,2014-01-01,5.0,Expérimentation,33.2,entre 20 et 100 M€,Délivrance de visas d'entrée en France,Immigration et asile (P303) / Action de la France en Europe et dans le monde (P105),http://www.performance-publique.budget.gouv.fr/sites/performance_publique/files/farandole/ressources/2017/pap/pdf/DBGPGMPGM105.pdf#page=31'http://www.performance-publique.budget.gouv.fr/sites/performance_publique/files/farandole/ressources/2017/pap/pdf/DBGPGMPGM303.pdf#page=15,2017-06-01
MI,Ministère de l'Intérieur,PROJET SOLDE GENDARMERIE,Non,"La gendarmerie doit disposer, pour le 1er janvier 2019, d'un outil assurant :
• la production de la solde et de ses accessoires, pour les 137 000 militaires d'active et de réserve de la gendarmerie, ainsi que leurs ayants droit ;
• le versement aux tiers des sommes associées ;
• les opérations de comptabilité et de restitution budgétaires.

Ses objectifs sont :
• de sécuriser la solde (solder juste et à temps avec le Système d’Information AGORH@) ;
• de renforcer la maîtrise de la programmation et du pilotage des effectifs et de la masse salariale.",,2014-10-01,4.3,Conception / Réalisation,10.3,entre 9 et 20 M€,Ressources Humaines,Gendarmerie nationale (P152) ,http://www.performance-publique.budget.gouv.fr/sites/performance_publique/files/farandole/ressources/2017/pap/html/DBGPGMJPEPGM152.htm,2017-06-01
MI,Ministère de l'Intérieur,SAIP,Oui,"Mise en œuvre d'un Système d'Alerte et d'Information des Populations (risque naturel, technologique,...).
Le système s'appuiera sur l’ensemble des vecteurs de transmission d'information : sirènes, téléphonie mobile, radio, TV, internet…",http://www.interieur.gouv.fr/Actualites/L-actu-du-Ministere/Lancement-de-l-application-mobile-SAIP,2008-01-01,17.0,Conception / Réalisation,81.6,entre 20 et 100 M€,Alerte & Gestion de crises,Sécurité civile (P161),http://www.performance-publique.budget.gouv.fr/sites/performance_publique/files/farandole/ressources/2017/pap/pdf/DBGPGMPGM161.pdf#page=28,2017-06-01
MI,Ministère de l'Intérieur,SIRH DIALOGUE 2,Non,"S'inscrivant dans le cadre interministériel de la modernisation des outils et de l'organisation des ressources humaines, le projet Dialogue 2 visait initialement à moderniser le système d'information RH (SIRH) ministériel, sur la base d'une mise en conformité avec le modèle interministériel porté par l'ex-opérateur national de paye (ONP).
Ce programme interministériel a été complétement réorienté suite à la décision prise par le Premier ministre, le 4 mars 2014, d'abandonner le développement du calculateur de paye de l'ONP au profit d'une convergence des SIRH ministériels avec l'application PAY de la DGFiP. Le Premier ministre a toutefois réaffirmé son souhait de moderniser la fonction de gestion des ressources humaines de l’État (GRH) en invitant les ministères à se doter, dans les meilleurs délais, de SIRH intégrant la gestion administrative des personnels et leur rémunération et à réorganiser la chaine de traitement gestion-paye (feuilles de route ministérielles validées lors de la RIM du 27 juin 2014).
Le projet Dialogue 2 se poursuit donc dans une démarche interministérielle de mutualisation, pilotée par le CISIRH, qui vise à développer une nouvelle version socle du progiciel HR Access (Suite 9 FPE).
 Le projet Dialogue 2 englobe :
- la construction d’un SIRH, outil de gestion administrative - gestion RH - Paye du ministère, point d’entrée unique des applications RH. Son accès sera largement ouvert, y compris aux agents avec un portail dédié, pour être un levier d’appropriation du SIRH par les gestionnaires et de fiabilisation de la base de données.
- la fiabilisation des données & référentiels du SIRH existant préalablement à la reprise des données dans Dialogue 2.
- la mise en conformité du nouveau SIRH avec le noyau RH FPE (référentiels réglementaires interministériels pilotés par le CISIRH).
- la réorganisation de la chaîne de gestion RH-Paie pour plus d’efficacité et de rationalité des processus, le projet SI constituant un levier de transformation pour la fonction RH ministérielle.",,2014-01-01,5.5,Conception / Réalisation,38.3,entre 20 et 100 M€,Ressources Humaines,"Police nationale (P176) / police : 80%
Administration territoriale (P307) / administration territoriale : 16,8%
Sécurité civile (P161) / CPPI : 1,6%
Gendarmerie nationale (P152) / gendarmerie nationale : 1,6%",,2017-06-01
MI,Ministère de l'Intérieur,Modernisation de l'INPT (projets FH et IP),Non,Projet reposant sur une évolution de l'Infrastructure Nationale Partageable des Transmissions (INPT)  en vue d'améliorer les capacités et la résilience du réseau actuel et de prolonger sa durée de vie à l'horizon 2030,,2014-06-01,7.6,Déploiement,352.0,> 100 M€,Gestion des Systèmes d'Information et de Communication,Sécurité civile (P161),http://www.performance-publique.budget.gouv.fr/sites/performance_publique/files/farandole/ressources/2017/pap/pdf/DBGPGMPGM161.pdf#page=27,2017-06-01
